id,name,lat,lon,off_or_on_street,capacity
339022,Berry St (200-298),undefined,undefined,ON,1
339031,Berry St (301-399),undefined,undefined,ON,27
339041,Berry St (401-499),undefined,undefined,ON,15
339042,Berry St (400-498),undefined,undefined,ON,5
350231,California St (2353-2399),undefined,undefined,ON,2
350232,California St (2350-2398),undefined,undefined,ON,1
350241,California St (2401-2499),undefined,undefined,ON,8
350242,California St (2400-2498),undefined,undefined,ON,5
354201,Chestnut St (2001-2099),undefined,undefined,ON,5
354202,Chestnut St (2000-2048),undefined,undefined,ON,7
354204,Chestnut St (2050-2098),undefined,undefined,ON,4
354211,Chestnut St (2101-2199),undefined,undefined,ON,9
354212,Chestnut St (2100-2198),undefined,undefined,ON,11
354221,Chestnut St (2201-2299),undefined,undefined,ON,11
354222,Chestnut St (2200-2248),undefined,undefined,ON,3
354224,Chestnut St (2250-2298),undefined,undefined,ON,3
354231,Chestnut St (2301-2399),undefined,undefined,ON,7
354232,Chestnut St (2300-2398),undefined,undefined,ON,8
354241,Chestnut St (2401-2499),undefined,undefined,ON,6
354242,Chestnut St (2400-2498),undefined,undefined,ON,4
359012,Clay St (100-198),undefined,undefined,ON,12
359032,Clay St (302-398),undefined,undefined,ON,5
359042,Clay St (400-498),undefined,undefined,ON,5
359051,Clay St (501-599),undefined,undefined,ON,null
359241,Clay St (2401-2499),undefined,undefined,ON,3
359242,Clay St (2400-2440),undefined,undefined,ON,2
359244,Clay St (2474-2498),undefined,undefined,ON,3
359251,Clay St (2501-2599),undefined,undefined,ON,2
363121,Columbus Ave (1201-1295),undefined,undefined,ON,6
363122,Columbus Ave (1200-1298),undefined,undefined,ON,3
363131,Columbus Ave (1297-1399),undefined,undefined,ON,8
363132,Columbus Ave (1350-1398),undefined,undefined,ON,6
364051,Commercial St (501-599),undefined,undefined,ON,7
370011,Capp St (101-199),undefined,undefined,ON,8
370012,Capp St (100-198),undefined,undefined,ON,13
380001,Davis St (1-99),undefined,undefined,ON,4
